artist_mbtag,lat,lon,state
AR00A6H1187FB5402A,42.73383,-84.59334,Michigan
AR00MBZ1187B9B5DB1,29.95244,-90.05202,Louisiana
AR01IP11187B9AF5D2,28.33268,-80.73486,Florida
AR01VU31187B997DA0,43.0026,-83.7826,Michigan
AR01W2D1187FB5912F,40.01574,-105.27924,Colorado
AR035N21187FB3938E,34.23294,-102.4102,Texas
AR03BDP1187FB5B324,34.05349,-118.24532,California
AR048JZ1187B9AEB85,30.33138,-81.6558,Florida
AR04KTB1187B99B6B7,37.27188,-119.27023,California
AR059HI1187B9A14D7,33.74831,-84.39111,Georgia
AR05KQA1187B9963B3,34.05349,-118.24532,California
AR06M3F1187FB38BED,34.51042,-89.94049,Mississippi
AR06USW1187FB4EACA,37.77916,-122.42005,California
AR08DYV1187B99A0D7,40.71455,-74.00712,New York
AR08NXW1187B99526D,38.2589,-92.43659,Missouri
AR0B1CH1187FB3A824,34.56398,-92.58685,Arkansas
AR0B3RS1187FB48F5D,39.10644,-84.50469,Ohio
AR0B6VD1187B99C293,34.47326,-119.05505,California
AR0CANF1187B9AF35F,34.05349,-118.24532,California
AR0ILWV1187FB47CAA,39.75911,-84.19444,Ohio
AR0IVSA1187FB4F069,40.71455,-74.00712,New York
AR0JEOI1187B98B918,31.1689,-100.07715,Texas
AR0JURX1187FB3C8FF,41.39447,-73.61689,New York
AR0KBXO1187B996460,41.58979,-93.61566,Iowa
AR0LVFQ1187B9A84E0,40.71455,-74.00712,New York
AR0N9BV1187FB3AD01,41.76332,-72.67407,Connecticut
AR0NQD81187FB3AD13,32.74863,-97.32925,Texas
AR0O3AV1187FB4D030,40.71455,-74.00712,New York
AR0PUK71187B9AC3C0,40.71455,-74.00712,New York
AR0RCMP1187FB3F427,30.08615,-94.10158,Texas
AR0S0EO1187FB490BE,38.62774,-90.19951,Missouri
AR0SZW11187B98C5E5,40.71455,-74.00712,New York
AR0TZ7T1187B994E37,42.33168,-83.04792,Michigan
AR0VIQV1187B9978F8,37.77916,-122.42005,California
AR0WAW61187B98B7D7,40.71455,-74.00712,New York
AR0WQ1Q1187B992E16,40.71455,-74.00712,New York
AR0WXWU1187B9AB33F,42.31256,-71.08868,Massachusetts
AR0XJ291187FB45855,39.75911,-84.19444,Ohio
AR12MUW1187B9A5DF4,29.76045,-95.36978,Texas
AR14CJ91187FB3A994,35.52069,-84.36354,Tennessee
AR1518Q1187B98A906,40.99471,-77.60454,Pennsylvania
AR180PG1187B997BAE,32.77815,-96.7954,Texas
AR190KO1187B9905EC,34.05349,-118.24532,California
AR19GQN1187FB3ACF5,40.71455,-74.00712,New York
AR19SOA1187B98F6E6,40.71455,-74.00712,New York
AR1ABAO1187FB531E1,42.33168,-83.04792,Michigan
AR1BA6K1187B9A5656,40.74269,-84.10729,Ohio
AR1BZED1187FB4CDEE,35.14968,-90.04892,Tennessee
AR1CD5Z1187B98F2C2,38.91391,-94.37517,Missouri
AR1E4V11187B99F400,34.05349,-118.24532,California
AR1GW0U1187B9B29FD,44.97903,-93.26493,Minnesota
AR1GYND1187B9A9CD3,38.43773,-122.71242,California
AR1IY3B1187B98B384,39.73926,-89.50409,Illinois
AR1J7881187B9959D8,37.77916,-122.42005,California
AR1JGQT1187FB56878,30.23513,-92.26831,Louisiana
AR1NT3H1187B99F67B,28.53823,-81.37739,Florida
AR1PCLK1187FB5BBFF,40.14323,-74.72671,New Jersey
AR1PNWN1187FB4A404,29.76045,-95.36978,Texas
AR1Q25M1187B9B0D73,40.67856,-73.41853,New York
AR1RHCO1187B9AF0BF,37.77916,-122.42005,California
AR1RMYB1187FB5A59E,37.27188,-119.27023,California
AR1RNCJ1187FB3D227,30.2676,-97.74298,Texas
AR1S5O61187B9898AC,37.27188,-119.27023,California
AR1SFKQ1187B98AF13,34.05349,-118.24532,California
AR1VB2W1187B9901C5,34.05349,-118.24532,California
AR1W3MA1187B99E6D8,31.1689,-100.07715,Texas
AR1WC0X1187B991056,37.77916,-122.42005,California
AR1WU211187FB57E2B,39.09551,-120.95071,California
AR1XE381187FB4C685,34.05349,-118.24532,California
AR1XVTM1187B996D57,44.11559,-120.51484,Oregon
AR1XZ0N1187B9941D5,35.6731,-89.57334,Tennessee
AR1Y2PT1187FB5B9CE,27.94017,-82.32547,Florida
AR1Y37Q1187B9B66D2,40.71455,-74.00712,New York
AR1ZNJO1187B993E46,44.04992,-123.08854,Oregon
AR1ZZOW1187B99BA84,40.14323,-74.72671,New Jersey
AR20BO61187B9B880E,36.83264,-76.29771,Virginia
AR223M11187B9ADDD6,33.53858,-112.18628,Arizona
AR23EC41187FB4805D,40.14323,-74.72671,New Jersey
AR23F7J1187B9A550F,31.96305,-95.27023,Texas
AR243ZT1187B9A98D2,32.29869,-90.18049,Mississippi
AR25LGJ1187B9B2492,29.42449,-98.49462,Texas
AR2AGLK1187B9AAAD0,34.05349,-118.24532,California
AR2B3VQ1187FB54129,32.77815,-96.7954,Texas
AR2BG0R1187FB398C3,29.59733,-90.71913,Louisiana
AR2C9UQ1187B98E69F,36.38418,-85.32281,Tennessee
AR2DKN01187FB3AA39,38.08767,-102.61916,Colorado
AR2FJV21187B98EBE3,35.83073,-85.97874,Tennessee
AR2G8SU1187FB4A871,42.33168,-83.04792,Michigan
AR2JD2Z1187B998A90,40.77735,-73.88137,New York
AR2O3B51187B98CD94,35.2225,-80.83754,North Carolina
AR2RVGR1187B9B3219,34.05349,-118.24532,California
AR2VJMU1187B9947AF,36.49905,-80.60688,North Carolina
AR2VROU1187FB532D7,40.65507,-73.94888,New York
AR31D7E1187FB3BC62,27.10442,-81.33231,Florida
AR358YS1187FB44A29,37.20897,-93.29156,Missouri
