artist_mbtag,sigla
AR86QIW1187B9AD8F0,AL
ARKPDFV1187B99804D,AL
ARQDHPO1187B9A9F7C,AL
ARVQ4QM1187B98AD95,AL
ARQXM2T1187B98FF32,AL
ARHRY5S1187B99B96F,AL
ARLTX751187B9A1828,AL
ARZJKZR1187FB3EFC2,AL
ARD2HR71187B99548F,AL
ARYOW7G1187FB373D0,AL
ARUP5LV1187FB50BD8,AZ
ARUZLXZ1187FB3BFF1,AZ
ARYHTAK11F50C4A2FB,AZ
ARID33C1187FB4610A,AZ
ARPGPI81187B98AEEA,AZ
AROATPL1187FB48E12,AZ
AR6OTKA1187B9B6697,AZ
AR223M11187B9ADDD6,AZ
AR63RWN1187FB3E89A,AR
AR6Y8JF1187B9BA1D5,AR
AR6HAZT1187FB4A3AA,AR
AR8WHEJ1187B98CDCA,AR
ARAWBUP1187B9B93FC,AR
AR8H87D1187FB3A841,AR
AR0B1CH1187FB3A824,AR
AR6TD9K1187B9A207D,AR
ARCSHVZ11C8A41575B,AR
ARZDYBC1187B9A3142,AR
AROBI4X1187B99550D,AR
ARA6QLT1187FB4CB89,AR
ARD4LQ61187FB470F1,AR
ARQGYP71187FB44566,AR
AR8IS591187B9981AE,AR
ARASJQK1187FB5B9D1,AR
ARTYGL51187B98F9D3,AR
ARVLMSG1187B98E07E,AR
ARB054P1187B9AD32E,CA
AR1WC0X1187B991056,CA
ARGP3GD1187B999801,CA
ARF84A41187B9A34E7,CA
AREXM411187FB560C4,CA
ARAHILU122988FD7D1,CA
AR8FMEN1187FB4A657,CA
ARSPIHU1187B99DDD8,CA
ARXR2N11187B99857E,CA
AR6W5MS1187FB3BF47,CA
AR1XE381187FB4C685,CA
ARBM57Q1187B9AF97C,CA
AR04KTB1187B99B6B7,CA
AR6HLKR1187B9A735A,CA
ARSGZ3J1187FB3E610,CA
AR7OCK81187B98D1F1,CA
AR5GMAV1187FB3A8F5,CA
ARKOVFX11EBCD75758,CA
ARUGU0E1187B9B30F6,CA
AR5M35O1187B9A0D74,CA
AR5M3681187B998D11,CA
